"strike","ivol"
1400,0.4366
1500,0.4124
1600,0.3883
1700,0.3672
1750,0.3554
1800,0.3456
1850,0.3357
1900,0.3267
1950,0.3172
2000,0.3092
2050,0.3008
2100,0.2914
2130,0.2893
2140,0.2858
2150,0.2861
2160,0.2843
2170,0.2825
2180,0.2807
2190,0.2805
2200,0.2785
2210,0.278
2220,0.2758
2230,0.2737
2240,0.2729
2250,0.272
2260,0.271
2270,0.2686
2280,0.2674
2290,0.2661
2300,0.2648
2310,0.2633
2320,0.2618
2330,0.2602
2340,0.2585
2350,0.2578
2360,0.2559
2370,0.254
2380,0.253
2390,0.2519
2400,0.2497
2410,0.2484
2420,0.247
2430,0.2455
2440,0.244
2450,0.2431
2460,0.2413
2470,0.2403
2480,0.2391
2490,0.2371
2500,0.2357
2510,0.2342
2520,0.2333
2530,0.2316
2540,0.2305
2550,0.2286
2560,0.2273
2570,0.2259
2580,0.2238
2590,0.2227
2600,0.221
2610,0.2192
2620,0.2178
2630,0.2163
2640,0.2147
2650,0.213
2660,0.2112
2670,0.2098
2680,0.2083
2690,0.2062
2700,0.2049
2710,0.2031
2720,0.2011
2730,0.1995
2740,0.1978
2750,0.1959
2760,0.194
2770,0.1923
2780,0.1905
2790,0.1886
2800,0.1865
2810,0.1847
2820,0.1828
2830,0.1808
2840,0.1786
2850,0.1766
2860,0.1746
2870,0.1727
2880,0.1706
2890,0.1685
2900,0.1665
2910,0.1643
2920,0.1623
2930,0.1602
2940,0.1581
2950,0.1562
2960,0.1538
2970,0.1518
2980,0.1497
2990,0.1473
3000,0.1454
3010,0.1433
3020,0.1409
3030,0.1389
3040,0.1368
3050,0.1347
3060,0.1327
3070,0.1308
3080,0.1286
3090,0.1269
3100,0.1249
3110,0.1235
3120,0.1217
3130,0.12
3140,0.119
3150,0.1171
3160,0.116
3170,0.1145
3180,0.1138
3190,0.1129
3200,0.1115
3210,0.1114
3220,0.1101
3230,0.1102
3240,0.109
3250,0.1086
3260,0.1089
3270,0.1085
3280,0.1084
3290,0.1082
3300,0.1085
3310,0.1085
3320,0.1086
3330,0.1089
3350,0.1094
3400,0.1113
3450,0.1136
3500,0.1167
3550,0.1187
3600,0.122
3650,0.1265
3700,0.13
3800,0.1369
3900,0.1439
