"strike","ivol"
1400,0.6135
1500,0.5588
1600,0.5355
1650,0.5098
1700,0.5015
1750,0.4887
1800,0.4734
1850,0.4565
1900,0.4386
1950,0.4251
2000,0.4054
2050,0.3927
2070,0.3863
2080,0.3814
2090,0.3796
2100,0.3748
2110,0.3728
2120,0.3706
2130,0.3658
2140,0.3635
2150,0.361
2160,0.3584
2170,0.3536
2180,0.3509
2190,0.3481
2200,0.3452
2210,0.3423
2220,0.3392
2230,0.3361
2240,0.3329
2250,0.3313
2260,0.3279
2270,0.3259
2280,0.3224
2290,0.3201
2300,0.3178
2310,0.3152
2320,0.3126
2330,0.3098
2340,0.3069
2350,0.304
2360,0.3019
2370,0.2996
2380,0.2971
2390,0.2946
2400,0.2919
2410,0.289
2420,0.2868
2430,0.2844
2440,0.2819
2450,0.2798
2460,0.2776
2470,0.2751
2480,0.2726
2490,0.2688
2500,0.2684
2510,0.2654
2520,0.2622
2530,0.2611
2540,0.2597
2550,0.258
2560,0.2542
2570,0.2521
2580,0.2498
2590,0.2489
2600,0.2461
2610,0.2432
2620,0.2416
2630,0.2396
2640,0.2374
2650,0.235
2660,0.2324
2670,0.2295
2680,0.2276
2690,0.2254
2700,0.2229
2710,0.2202
2720,0.2182
2730,0.2159
2740,0.2134
2750,0.2106
2760,0.2083
2770,0.2058
2780,0.2029
2785,0.2022
2790,0.2006
2800,0.1979
2810,0.1956
2820,0.1923
2830,0.1894
2840,0.1868
2850,0.1838
2860,0.1805
2870,0.1774
2880,0.174
2890,0.1707
2900,0.1676
2910,0.164
2920,0.1605
2930,0.1565
2940,0.1532
2950,0.1493
2960,0.1453
2970,0.1418
2980,0.1382
2990,0.1344
3000,0.1311
3010,0.1276
3020,0.1244
3030,0.121
3040,0.1181
3050,0.1157
3060,0.1131
3070,0.1114
3080,0.1085
3090,0.1077
3100,0.1065
3110,0.1055
3120,0.1051
3130,0.1047
3140,0.105
3150,0.1052
3160,0.1054
3170,0.1057
3180,0.1063
3190,0.1076
3200,0.1085
3210,0.1089
3220,0.1105
3230,0.1118
3240,0.1128
3250,0.1134
3260,0.1135
3270,0.1164
3280,0.1158
3290,0.1186
3300,0.1166
3310,0.1193
3320,0.1219
3330,0.1246
3350,0.1299
3400,0.1433
3450,0.1566
3500,0.17
3550,0.1833
3600,0.1966
3650,0.21
3700,0.2233
3800,0.25
3900,0.2767
