"strike","ivol"
1.1,0.6235
1.15,0.6135
1.2,0.6019
1.25,0.5886
1.3,0.5764
1.35,0.5663
1.4,0.5527
1.45,0.5411
1.5,0.5286
1.55,0.5161
1.6,0.5038
1.65,0.4918
1.7,0.4818
1.75,0.4719
1.8,0.463
1.85,0.4545
1.9,0.447
1.95,0.4398
2,0.4332
2.05,0.427
2.1,0.4216
2.15,0.4165
2.2,0.412
2.25,0.4082
2.3,0.4048
2.35,0.4022
2.4,0.4001
2.45,0.3986
2.5,0.398
2.55,0.3973
2.58,0.3971
2.6,0.3971
2.63,0.3974
2.65,0.3973
2.7,0.3979
2.75,0.399
2.76,0.3992
2.8,0.4005
2.81,0.4005
2.83,0.401
2.85,0.402
2.86,0.4023
2.87,0.403
2.89,0.4041
2.9,0.4044
2.95,0.4082
2.97,0.4094
2.98,0.4102
3,0.4122
3.01,0.4127
3.05,0.4161
3.07,0.4177
3.08,0.4184
3.1,0.4204
3.15,0.4245
3.17,0.4264
3.2,0.4288
3.25,0.4337
3.28,0.437
3.3,0.4384
3.35,0.4447
3.4,0.4498
3.45,0.4556
3.5,0.4602
3.6,0.4731
3.65,0.4797
3.75,0.4937
3.8,0.5014
3.9,0.5157
4,0.5286
4.2,0.5497
4.25,0.5539
4.5,0.573
4.65,0.5813
4.75,0.5872
5,0.6114
5.15,0.6185
5.25,0.6156
5.5,0.6242
6,0.6434
6.5,0.6898
7,0.7323
7.5,0.7716
9,0.8741
9.5,0.9083
9.65,0.9186
9.8,0.9288
9.95,0.9391
