"strike","ivol"
1.35,0.4455
1.4,0.4434
1.5,0.4377
1.65,0.4319
1.75,0.4313
1.8,0.4312
1.85,0.4312
1.9,0.4312
1.95,0.4312
2,0.4317
2.05,0.4333
2.1,0.4352
2.15,0.4372
2.2,0.4392
2.25,0.4417
2.3,0.4442
2.4,0.4503
2.45,0.4539
2.5,0.4576
2.55,0.4614
2.6,0.4654
2.63,0.4679
2.65,0.4696
2.67,0.4712
2.68,0.472
2.7,0.4736
2.71,0.4745
2.72,0.4752
2.73,0.476
2.75,0.4777
2.76,0.4784
2.79,0.4808
2.8,0.4817
2.81,0.4825
2.82,0.4832
2.84,0.4848
2.85,0.4856
2.88,0.488
2.9,0.4896
2.91,0.4903
2.92,0.4911
2.93,0.4919
2.94,0.4926
2.95,0.4935
2.96,0.4943
3,0.4974
3.05,0.5013
3.1,0.5052
3.15,0.5091
3.2,0.5131
3.25,0.517
3.3,0.5207
3.35,0.5245
3.4,0.5284
3.45,0.5321
3.5,0.5359
3.55,0.5394
3.6,0.5432
3.65,0.5468
3.7,0.5505
3.75,0.5543
3.8,0.5579
3.85,0.5614
3.9,0.565
3.95,0.5685
4,0.5719
4.05,0.5755
4.1,0.5789
4.2,0.5856
4.25,0.589
4.3,0.5924
4.35,0.5957
4.4,0.5991
4.45,0.6024
4.5,0.6055
4.55,0.609
4.7,0.6185
4.75,0.6214
4.9,0.6303
5,0.6362
5.05,0.6388
5.15,0.644
5.2,0.6465
5.5,0.661
5.75,0.6734
6,0.6852
6.5,0.7073
7,0.7282
8,0.7617
