"strike","ivol"
1400,0.5038
1500,0.4865
1600,0.4589
1650,0.4494
1700,0.4374
1750,0.4239
1800,0.4093
1850,0.3967
1900,0.3852
1950,0.3721
2000,0.3595
2050,0.347
2070,0.3424
2080,0.3405
2090,0.3375
2100,0.3355
2110,0.3334
2120,0.3302
2130,0.328
2140,0.3257
2150,0.3233
2160,0.3218
2170,0.3193
2180,0.3167
2190,0.3148
2200,0.3128
2210,0.3108
2220,0.3086
2230,0.3064
2240,0.3041
2250,0.3023
2260,0.2999
2270,0.2979
2280,0.2958
2290,0.2942
2300,0.2909
2310,0.2916
2320,0.2871
2330,0.2874
2340,0.2852
2350,0.2829
2360,0.2805
2370,0.28
2380,0.2774
2390,0.2766
2400,0.2738
2410,0.2726
2420,0.2696
2430,0.2682
2440,0.2666
2450,0.2649
2460,0.263
2470,0.261
2480,0.2589
2490,0.2567
2500,0.2556
2510,0.2531
2520,0.2517
2530,0.249
2540,0.2473
2550,0.2454
2560,0.2434
2570,0.2413
2580,0.24
2590,0.2376
2600,0.2359
2610,0.2341
2620,0.2322
2630,0.2309
2640,0.2286
2650,0.227
2660,0.2252
2670,0.2224
2680,0.221
2690,0.2187
2700,0.2169
2710,0.2149
2720,0.2128
2730,0.2105
2740,0.2086
2750,0.2059
2760,0.2037
2770,0.2018
2780,0.1992
2790,0.1969
2800,0.1945
2810,0.1924
2820,0.19
2830,0.1874
2840,0.1847
2850,0.1822
2860,0.1794
2870,0.1769
2880,0.1742
2890,0.1717
2900,0.1689
2910,0.1662
2920,0.1633
2930,0.1607
2940,0.1578
2950,0.1553
2960,0.1524
2970,0.1496
2980,0.1468
2990,0.1436
3000,0.1409
3010,0.1383
3020,0.1352
3030,0.1325
3040,0.1299
3050,0.1277
3060,0.125
3070,0.1229
3080,0.1208
3090,0.1187
3100,0.1167
3110,0.1148
3120,0.1138
3130,0.1123
3140,0.111
3150,0.1102
3160,0.1091
3170,0.1087
3180,0.1084
3190,0.1083
3200,0.1084
3210,0.1086
3220,0.1093
3230,0.1097
3240,0.1103
3250,0.1107
3260,0.1114
3270,0.1119
3280,0.1129
3290,0.1127
3300,0.1142
3310,0.1145
3320,0.1145
3330,0.1155
3350,0.1171
3400,0.1219
3450,0.1258
3500,0.1298
3550,0.1337
3600,0.1376
3650,0.1416
3700,0.1455
3800,0.1534
3900,0.1613
