"strike","ivol"
1400,0.4089
1500,0.388
1600,0.3691
1700,0.3503
1750,0.3405
1800,0.3316
1850,0.3232
1900,0.3142
1950,0.3065
2000,0.2988
2050,0.2922
2100,0.284
2130,0.28
2140,0.2795
2150,0.2775
2160,0.2769
2170,0.2747
2180,0.2739
2190,0.2717
2200,0.2707
2210,0.2696
2220,0.2685
2230,0.2672
2240,0.2659
2250,0.2645
2260,0.263
2270,0.2615
2280,0.2599
2290,0.2592
2300,0.2575
2310,0.2567
2320,0.2548
2330,0.2538
2340,0.2527
2350,0.2506
2360,0.2494
2370,0.248
2380,0.2474
2390,0.2459
2400,0.2443
2410,0.2434
2420,0.2417
2430,0.2406
2440,0.2394
2450,0.2375
2460,0.2361
2470,0.2347
2480,0.2338
2490,0.2323
2500,0.2312
2510,0.2295
2520,0.2282
2530,0.2269
2540,0.225
2550,0.224
2560,0.2225
2570,0.2208
2580,0.2196
2590,0.2183
2600,0.2169
2610,0.2154
2620,0.2138
2630,0.2122
2640,0.2109
2650,0.209
2660,0.2076
2670,0.206
2680,0.2044
2690,0.203
2700,0.2012
2710,0.1997
2720,0.1981
2730,0.1964
2740,0.1949
2750,0.193
2760,0.1914
2770,0.1897
2780,0.1882
2790,0.1863
2800,0.1846
2810,0.1825
2820,0.1809
2830,0.1789
2840,0.1771
2850,0.1752
2860,0.1732
2870,0.1714
2880,0.1694
2890,0.1677
2900,0.1658
2910,0.1638
2920,0.1619
2930,0.1599
2940,0.1581
2950,0.156
2960,0.1541
2970,0.1521
2980,0.1498
2990,0.1481
3000,0.1461
3010,0.144
3020,0.1423
3030,0.1404
3040,0.1383
3050,0.1363
3060,0.1344
3070,0.1326
3080,0.131
3090,0.1291
3100,0.1273
3110,0.1257
3120,0.1241
3130,0.1227
3140,0.1211
3150,0.12
3160,0.1186
3170,0.1169
3180,0.116
3190,0.1147
3200,0.1137
3210,0.1124
3220,0.112
3230,0.1113
3240,0.1104
3250,0.1092
3260,0.1093
3270,0.1083
3280,0.1079
3300,0.1073
3350,0.1075
3400,0.1089
3450,0.1109
3500,0.1138
3550,0.1163
3600,0.1189
3700,0.1235
3800,0.1297
3900,0.1359
